job_id,company_id,title,description,max_salary,med_salary,min_salary,pay_period,formatted_work_type,location,applies,original_listed_time,remote_allowed,views,job_posting_url,application_url,application_type,expiry,closed_time,formatted_experience_level,skills_desc,listed_time,posting_domain,sponsored,work_type,currency,compensation_type,scraped
3757776367,3517767,"Data Scientist I, Revenue","Our Mission
 
 As humans, there are few things more exciting than meeting someone new. At Tinder, we’re inspired by the challenge of keeping the magic of human connection alive. With tens of millions of users, hundreds of millions of downloads, 2+ billion swipes per day, 20+ million matches per day, and a presence in 190+ countries, our reach is expansive—and rapidly growing.
 
 We work together to solve complex problems. Behind the simplicity of every match, we think deeply about human relationships, behavioral science, network economics, AI and ML, online and real-world safety, cultural nuances, loneliness, love, sex, and more.
 
  The Team 
 
 The Data Science & Analytics team thrives on data-driven insights to make more informed decisions through our insights into our member’s behavior, preferences, and common trends. We take ownership over the integrity of our data and work to improve data literacy across Tinder.
 
 We are seeking a passionate and motivated Data Scientist I to join our growing Revenue team. In this role you will partner with Revenue, Product, Marketing, Engineering, and Finance to accelerate improvements to our platform. The ideal candidate is both passionate about the intersection of online dating and economics and comfortable digging deep into financial data to uncover trends and patterns. This role will operate under the Revenue branch of Tinder and will focus on data related to finance, pricing, and paid-feature
 
 conversion.
 
 Where you'll work:
 
 This position can be located in Los Angeles or San Francisco, CA.
 
 In this role, you will: 
 
 Digest large, complex transaction datasets into distilled analytics that help the business identify new opportunities. Quickly investigate KPI movements in an evolving global dataset, disentangling correlation and causation to communicate resolutions efficiently. Collaborate closely with strategy and finance teams to study worldwide online dating trends and provide detailed market research to guide pricing decisions.Drive ownership of your own projects while balancing speed of execution and business valueBe an authority on where and how to organize our data and readily share insights with data scientists, product managers, and finance leaders as well as at a company level.Define and operationalize the detailed tracking of company-wide, team-specific, and product-specific performance metrics via rollout tables, dashboards, and automated reporting.
 
 
 Skills Required: 
 
 Expertise with SQL and data visualization tools (e.g., Tableau, Mode, Databricks)Ability to join multiple tables and data sources into an aggregated form that drives business understandingAbility to design and execute complex A/B tests and statistical experiments on large datasetsExperience with a scripting language (Python, R, and/or Spark) and respective data analysis librariesEagerness to improve our data infrastructure and how we report analytics to the broader organizationComfort using descriptive statisticsCuriosity of how things work, from both a business and technical perspectiveA collaborative growth mindset with a dedication to community-based projects and partnershipsExperience working on data related to finance and/or subscription business models is a plus
 
 
 As part of the team, you'll enjoy: 
 
 Unlimited PTO (with no waiting period), 10 annual Wellness DaysTime off to volunteer and charitable donations matched up to $15,000 annually Comprehensive health, vision, and dental coverage100% 401(k) employer match up to 10%, Employee Stock Purchase Plan (ESPP)100% paid parental leave (including for non-birthing parents), family forming benefits, and Milk Stork, which provides access to breast milk shipping for business travel, surrogacy, and employee relocationInvestment in your development: mentorship through our MentorMatch program, access to 6,000+ online courses through Udemy, and an annual $3,000 stipend for your professional developmentInvestment in your wellness: access to mental health support via Modern Health, BetterHelp, and Insight Timer; paid concierge medical membership, pet insurance, fitness membership subsidy, and commuter subsidyFree subscription to Tinder Gold
 
 
 $115,000 - $130,000 a year
 
 Commitment to Inclusion
 
 At Tinder, we don’t just accept difference, we celebrate it. We strive to build a workplace that reflects the rich diversity of our members around the world, and we value unique perspectives and backgrounds. Even if you don’t meet all the listed qualifications, we invite you to apply and show us how your skills could transfer. Tinder is proud to be an equal opportunity workplace where we welcome people of all sexes, gender identities, races, ethnicities, disabilities, and other lived experiences. Learn more here: https://www.lifeattinder.com/dei",130000,,115000,YEARLY,Full-time,"West Hollywood, CA",16,1.70E+12,,50,https://www.linkedin.com/jobs/view/3757776367/?trk=jobs_biz_prem_srch,https://jobs.lever.co/matchgroup/57d98f1c-470e-4c26-b310-6bc173897450/apply,OffsiteApply,1.70E+12,,Entry level,,1.70E+12,jobs.lever.co,0,FULL_TIME,USD,BASE_SALARY,1699073521
3757748149,1036254,Sr. to Lead Data Scientist - AML / Anti-Money Laundering,"Sr. to Lead Data Scientist - AML / Anti-Money Laundering
 The company can hire someone from mid to senior to lead (leading 2 people) level.
 Location: you can either work remotely or in the company's office in Palo Alto, CA
 
 The company is self-funded and founded by industry veterans with a track record of tremendous success. The CEO/Cofounder previously cofounded a company that is publicly traded and has reached an over $20 billion market cap. The CTO/Cofounder previously was a long time engineering leader at Facebook.
 The company's product involves risk assessment, fraud detection/prevention, and AI. It is already being used by many customers. Revenues are increasing rapidly.
 The company has about 40 employees and 30 engineers and is growing rapidly.
 The company will pay salary up to $250k, plus equity which could be lucrative.
 
 Job Responsibilities:
 - Utilizing machine learning and statistical techniques to develop and implement money laundering detection models that will protect businesses from fraudulent activities.
 - Having a high impact in building out the ML stack.
 - Collaborating with cross-functional teams, including engineering, product, and operations.
 - Analyzing large volumes of data in order to identify patterns, trends, and anomalies indicative of money laundering behavior. Deriving data-driven insights to improve money laundering detection strategies.
 - Evaluating the performance of existing money laundering detection models and systems, and continuously optimizing and update them to adapt to changing AML trends and tactics.
 - Remaining up-to-date with the latest trends and advancements in money laundering detection, data science, and machine learning, and applying that knowledge to the company's money laundering prevention capabilities.
 
 Qualifications:
 - Experience being responsible for the outcome (not just the model) of machine learning models you have designed and built to catch money laundering.
 - At least 3 years of professional experience (the more the better) as a Data Scientist focused on money laundering detection.
 - Proficiency in Python.
 - Ability to work collaboratively as well as independently, and thrive in a fast-paced startup environment.
 - Expertise in machine learning algorithms and statistical techniques, with a focus on their use for money laundering detection.
 - Strong communication skills, with the ability to explain complex concepts and findings to technical as well as non-technical people.
 
 Nice to have:
 - Experience with money laundering detection in the fintech, marketplaces, or financial services industry.
 - Knowledge of current AML tactics and trends.
 - Startup experience.
 - Experience with fraud detection models.
 
 
 About Skyrocket Ventures
 
 Skyrocket Ventures is a recruiting firm for hundreds of high growth technology companies that range from industry leaders to top-tier startups. This opportunity is with one of our client companies for a full-time permanent hire. Please only apply if you are authorized to work in the U.S.
 
 Please note that even if this job is not a perfect match, we encourage you to apply as long as it is in the ballpark. Companies are often flexible in hiring candidates who do not perfectly fit their written job description, as long as the most important qualifications are there and the candidate is good in general.
 
 Most of the jobs we are recruiting for are not posted online, so if you would like to know of all the opportunities we have that match your interests and qualifications, then please get in touch with us.
 
 After you apply to this job posting, we’ll consider you for this job as well as any other potential matches with our client companies. If we have any potential matches, we’ll share your resume with those companies and contact you about any interview opportunities we can get you.
 
 Thank you, and we wish you a great job search!",250000,,200000,YEARLY,Full-time,San Francisco Bay Area,4,1.70E+12,,17,https://www.linkedin.com/jobs/view/3757748149/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1.70E+12,,Mid-Senior level,,1.70E+12,,0,FULL_TIME,USD,BASE_SALARY,1699061126
3757733119,26945,Data Scientist,"It's fun to work in a company where people truly BELIEVE in what they are doing!
 
 We're committed to bringing passion and customer focus to the business.
 
 Fractal Analytics is a strategic AI partner to Fortune 500 companies with a vision to power every human decision in the enterprise. Fractal is building a world where individual choices, freedom, and diversity are the greatest assets. An ecosystem where human imagination is at the heart of every decision. Where no possibility is written off, only challenged to get better. We believe that a true Fractalite empowers imagination with intelligence. And that it will be such Fractalites that will continue to build the company for the next 100 years.
 
 Please visit Fractal | Intelligence for Imagination for more information about Fractal.
 
 Role Overview
 
 As a Data Scientist, you will collaborate with internal teams and our clients to delve into, grasp, and apply data and insights effectively for business enhancement. This role demands a proactive approach to developing, testing, and optimizing machine learning models and client-specific software applications, ensuring performance excellence and technical accuracy. As a critical team member, you'll be instrumental in creating application specifications and documentation and conveying complex concepts through tutorials.
 
 Responsibilities
 
 Work closely with internal and external experts to acquire, comprehend, validate, and utilize data, transforming it into actionable business intelligence.Develop, test, and deploy robust machine learning models, ensuring their efficacy and efficiency in real-world applications.Actively troubleshoot and refine customer-focused software solutions, maintaining a continuous improvement mindset.Identify and resolve application performance issues, focusing on streamlining and optimization.Craft clear and comprehensive application guides, tutorials, and documentation, enhancing user understanding and engagement.
 
 
 Qualifications
 
 A master’s or Doctoral degree in Computer Science, Electrical Engineering, Statistics, or a related field.Proven experience in applied machine learning, including familiarity with various forms of regression, classification, supervised and unsupervised learning techniques.Solid foundation in key mathematical areas, including linear algebra, calculus, probability, and statistics.Skilled in handling and analyzing time-series data, cleansing, and normalization.Familiarity with scalable machine learning methods (e.g., MapReduce, streaming technology).Experience in software development, specifically with JavaScript and Python.Proficient in using Git or other similar version control systems.Self-driven with the capability to lead projects and perform efficiently independently and as part of a team.Strong in both verbal and written communication, capable of articulating complex technical ideas with clarity and precision.
 
 
 Pay
 
 The wage range for this role takes into account the wide range of factors that are considered in making compensation decisions, including but not limited to skill sets; experience and training; licensure and certifications; and other business and organizational needs. The disclosed range estimate has not been adjusted for the applicable geographic differential associated with the location at which the position may be filled. At Fractal, it is not typical for an individual to be hired at or near the top of the range for their role and compensation decisions are dependent on the facts and circumstances of each case. A reasonable estimate of the current range is: $90,000 to $208,000. In addition, you may be eligible for a discretionary bonus for the current performance period.
 
 Benefits
 
 As a full-time employee of the company or as an hourly employee working more than 30 hours per week, you will be eligible to participate in the health, dental, vision, life insurance, and disability plans in accordance with the plan documents, which may be amended from time to time. You will be eligible for benefits on the first day of employment with the Company. In addition, you are eligible to participate in the Company 401(k) Plan after 30 days of employment, in accordance with the applicable plan terms. The Company provides for 11 paid holidays and 12 weeks of Parental Leave. We also follow a “free time” PTO policy, allowing you the flexibility to take the time needed for either sick time or vacation.
 
 Fractal provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.
 
 If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!
 
 Not the right fit? Let us know you're interested in a future opportunity by clicking Introduce Yourself in the top-right corner of the page or create an account to set up email alerts as new job postings become available that meet your interest!",208000,,90000,YEARLY,Full-time,"California, United States",177,1.70E+12,,376,https://www.linkedin.com/jobs/view/3757733119/?trk=jobs_biz_prem_srch,https://fractal.wd1.myworkdayjobs.com/Careers/job/California/Data-Scientist_SR-20653,OffsiteApply,1.70E+12,,Entry level,,1.70E+12,fractal.wd1.myworkdayjobs.com,0,FULL_TIME,USD,BASE_SALARY,1699080458
3757722920,15721,Data Scientist,"At Extra Space Storage, what matters to you, matters to us! Join a company that cares about you.
 
 It is an exciting time to be at Extra Space. We have been featured on multiple ""Best Places to Work"" awards, including Forbes and Glassdoor. We’re an S&P 500 company that hasn’t stopped growing since our founding in 1977. Today we are leading the self-storage industry in more ways than one, but in order to maintain this lead, we need exceptionally motivated, capable, and driven people like you. Self-storage is our product, helping people is our passion. Come grow with us and find out why so many of our employees recommend us as a great place to work.
 
 We are seeking a Data Scientist at our corporate offices in Salt Lake City, Utah. The is an individual contributor role within the Revenue Management and Data Science organization. This person will be assisting with executing new revenue management strategies and improving the current systems, as well as managing aspects of strategic and tactical pricing for individual third-party properties. This is a high impact and high visibility role. Proactive communication and good collaboration with internal stakeholders are essential for success in this role. Please note this is an in-office position and is not hybrid or remote.
 
 Primary Responsibilities
 
 Provides analytic feedback and pricing and discounting expertise to internal stakeholders. Diagnoses and communicates pricing decisions to cross-functional teams. Develop, maintain, and improve revenue management systems that are critical for driving revenue growth at Extra Space Storage. Design and execute A-B tests to inform revenue management, marketing, and other business function strategies. Work with internal stakeholders to ensure business considerations are executed effectively within the revenue management, marketing, and IT (Information Technology) systems. Support internal stakeholders with ad-hoc analyses and data needs. Perform data analysis, summarize the findings, and communicate the insights to the business audience to drive strategic changes. Use data science techniques to recommend customer segmentation frameworks to inform targeted pricing or other business initiatives. Document analytics systems and assigned data science projects including business objectives, data collection and analysis process, evaluated models and techniques, insights, and key metrics. 
 
 Job Specifications
 
 Drive optimal pricing-based decisions for segment of properties in conjunction with broader marketing activities. Provide feedback to data science team on effectiveness pricing/discount tactics and tools. Proven analytical and data driven decision-making skills. Experience with mining large data sets. Coding proficiency in SQL and Python a plus. Experience with Databricks, Microsoft Azure or other similar cloud environments is a plus. Experience with data visualization tools like Power BI (preferred) or Tableau. Team player with excellent collaboration skills. Excellent communication and presentation skills. Highly motivated and high level of energy and enthusiasm. 
 
 Education And Experience
 
 A master’s degree in mathematics, operations research, statistics, finance, economics, or other STEM degrees. Requires 2-4 years of experience in applying advanced analytics to drive business outcomes. 
 
 We pride ourselves on hiring top talent and provide the following benefits and more:
 
 Well defined career pathsGreat work/life balance and hybrid work scheduleMedical, dental, and vision benefitsHealth Savings Account (HSA) or Flexible Spending (FSA)Company paid Life, AD&D, and Short- & Long-Term Disability401K with company match after 90 days of serviceHoliday pay and paid time offExtensive wellness program and various employee discount programsPersonal health advocateOn-site fitness centerFree soda, coffee, and snacks all day every day and much, much more!
 
 If you are a current Extra Space employee, please apply through the ""Find Internal Career Openings"" in Workday.
 
 We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",,,,,Full-time,"Salt Lake City, UT",36,1.70E+12,,94,https://www.linkedin.com/jobs/view/3757722920/?trk=jobs_biz_prem_srch,https://extraspace.wd5.myworkdayjobs.com/ESS_External/job/Salt-Lake-City-UT-United-States/Data-Scientist_R-48671,OffsiteApply,1.70E+12,,Entry level,,1.70E+12,extraspace.wd5.myworkdayjobs.com,0,FULL_TIME,,,1699072327
3757709060,23099,Data Scientist,"Become an essential member of NRG as a Data Scientist, offering the opportunity to view the big picture of retail operations and marketing, as well as develop specialized knowledge in specific areas!
 NRG aims to promote customized offerings: the right product offered through the right channel, with the right message at the right time for each current or prospective customer. To accomplish this, we leverage our data via predictive modeling, statistical analyses, and optimization. If you love data, programming, creative problem-solving, and communicating results, you will fit right in.
 
 
 Responsibilities:Apply statistical modeling or machine learning algorithms to optimize marketing efforts with respect to customer acquisition, retention, customer experience, and margin enhancementTake a leadership role in mentoring and developing junior analystsCollaborate closely with the marketing team to strategize, plan, and analyze A/B testsUtilize advanced quantitative techniques to accurately quantify and evaluate the impact of different marketing strategies and levers..Produce models that predict consumer behavior responses to various marketing leversHelp executives monitor the pulse of the business by automating reports of key performance indicatorsCreate impactful and meaningful visualizations that effectively communicate complex data and insightsTranslate, communicate, and present results and recommendations to a non-technical audience
 
 Requirements:Bachelor's degree in Statistics, Computer Science, Economics, Engineering, Mathematics, or Operations Research is required.Advanced Degree (MS or PhD) in a quantitative field is strongly preferred, such as Statistics, Computer Science, Economics, Engineering, Mathematics, or Operations Research.3+ years in statistical modeling and quantitative analysis in industry or full-time academic research.Strong Causal Inference skills (A/B testing, propensity score matching, etc.)Proficiency in Bayesian statistics, including experience applying Bayesian methods for data analysis and inference.Previous retail electricity market experience preferredPrevious marketing experience preferredExperience analyzing weblog data a plusKaggle competition experience also a plus 
  Technical Skills Requirements:Possess strong statistical modeling and analysis skills.Demonstrate a solid understanding of graduate-level multivariate statistical techniques and sampling methods, including but not limited to multivariate regression, ANOVA, factor analysis, cluster analysis, and principal components analysis.Exhibit strong general programming skills.Proficiency in Python, including experience with pandas and scikit-learn for data analysis and machine learning tasks.Possess strong SQL skills and understanding of relational databases.Excel proficiency, with the ability to effectively utilize advanced functions and features.R programming a plusSurvival modeling a plus",65,,55,HOURLY,Contract,"Houston, TX",10,1.70E+12,,25,https://www.linkedin.com/jobs/view/3757709060/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1.70E+12,,Associate,,1.70E+12,,0,CONTRACT,USD,BASE_SALARY,1699052505
3757495140,15226602,Data Scientist,"*THIS ROLE IS NOT OPEN TO C2C OR H1B. SUCCESSFUL CANDIDATES WILL BE USC OR GC ONLY AND ABLE TO WORK ON OUR W2*
 Requirements:Experience in some form of SQL (e.g. HIVE, PostgreSQL, MSSQL, etc.) and either Python or R for statistical application developmentExperience in a Hadoop environment and / or statistical development tool (e.g. RapidMiner, Knime) Experience developing and communicating a deep understanding of client needs, performing analytical deep-dives to identify problems, opportunities and specific actions required Experience developing reproducible and deployable statistical applications on platform such as R/Python/Spark using techniques such as Regression, SVM, and Neural Networks Experience implementing processes that improve and lead to greater data quality Experience conducting statistical analyses to develop strategies Experience documenting all processes and research Experience building new algorithms and model training Experience executing projects involving analytics Experience identifying data patterns and trends Experience analyzing data to develop predictive models Experience creating, managing, and maintaining analytically rigorous data Possess a solid machine learning foundation Proven record of successful statistical product delivery Ability to execute health insurance use cases via statistical applications such as R or Python Ability to efficiently access data via multiple vectors (e.g. NFS, FTP, SSH, SQL, Sqoop, Flume, Spark) Significant experience with SQL and working with large datasets required Experience working with cross-functional teams (including Product Management, Engineering, and senior executives) to rapidly execute and iterate. Noting anomaly detection and running diagnostics. Experience performing graphical model analysis Strong verbal and written communication skills
 *THIS ROLE IS NOT OPEN TO C2C OR H1B. SUCCESSFUL CANDIDATES WILL BE USC OR GC ONLY AND ABLE TO WORK ON OUR W2*",,,,,Contract,United States,39,1.70E+12,1,125,https://www.linkedin.com/jobs/view/3757495140/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1.70E+12,,Mid-Senior level,,1.70E+12,,0,CONTRACT,,,1699063864
3757492660,11637,Principal NLP Data Scientist,"Job Title: Marketing Data AnalystLocation: REMOTEJob Type: Contract | 12-MonthCompensation: $60-80/hour
 About The Company:
 Our client is a forward-thinking and innovative company at the forefront of the streaming industry. They are committed to expansion and ensuring customer satisfaction. Currently, we are searching for a talented and driven Marketing Data Analyst to join their team and play a pivotal role in making data-driven decisions to enhance their marketing strategies.
 Job Description:
 As a Marketing Data Analyst, you will be instrumental in shaping marketing strategies and enhancing customer engagement. Your responsibilities will encompass:
 Evaluating marketing data to pinpoint growth opportunities and areas for optimization.Devising strategies to recapture and retain customers.Collaborating with our data engineering team to extract and analyze pertinent data.Offering actionable insights and recommendations to address business challenges.Engaging with senior leadership and stakeholders.Specializing in marketing analytics, with a focus on churn analysis and customer acquisition.
 Requirements:
 To excel in this position, you should possess the following qualifications and competencies:
 5-7 years of marketing experience, with a strong focus on churn or acquisition analytics.Proficiency in SQL and data analysis tools.Proficiency in Python.Strong technical and analytical skills, with the ability to derive valuable insights from data.The capacity to work effectively within a team structure and actively engage in problem-solving.Familiarity with marketing channels like direct mail, email campaigns, telemarketing, and digital experiences.Knowledge of data platforms like Snowflake and Databricks is a valuable asset.",,,,,Full-time,"Portland, ME",2,1.70E+12,,13,https://www.linkedin.com/jobs/view/3757492660/?trk=jobs_biz_prem_srch,https://wexinc.wd5.myworkdayjobs.com/WEXInc/job/Portland-ME/Principal-NLP-Data-Scientist_R13586-1,OffsiteApply,1.70E+12,,Entry level,,1.70E+12,wexinc.wd5.myworkdayjobs.com,0,FULL_TIME,,,1699053844
3757490630,80753330,Data Scientist,"Job Title
 
 Data Scientist
 
 Job Description
 
 I. Job Summary | Major goals and objectives.
 
 With over 25 million surveys collected annually from thousands of retailers worldwide, Bizrate Insights is one of the largest sources of verified customer-generated seller ratings and reviews, helping both retailers and consumers make informed decisions. We believe great technology empowers organizations. At Synapse Group, we're using technology to optimize our business, recognize when things are going right (and occasionally wrong) and provide data and insights that let our business make decisions in the modern, fast-paced environment.
 
 Los Angeles, CA or New York, NY candidates are preferred, but we are open to remote accommodations for the right person.
 
 If you are a passionate Data Scientist who is excited to see the impact of your hard work in production, optimizing and driving business strategies, come join a team of like-minded, skilled professionals where you can learn and share your knowledge!You will be participating in activities across the data science lifecycle: business case definition, data collection, cleaning, integration, analysis, visualization, feature engineering, modeling with machine learning algorithms, deployment, A/B testing, interpreting the models/results, and reporting.Communicating and coordinating effectively with product managers, software engineers, analytical groups and customer-facing teams in an agile environment.Working with data processing pipelines for analyzing gigabyte- to terabyte-scale data from multiple sources. Designing actionable data products based on statistical analysis and machine learning methods and working on their deployment to enterprise systems, optimizing the business at Synapse / Bizrate Insights and Dotdash Meredith.Learning continuously in the areas of data science, machine learning, ad technology, forecasting, marketing operations, natural language processing, data ecosystems, content operations, social media analysis and industry standard measurements.
 
 II. Essential Job Functions
 
 Weight % - Accountabilities, Actions and Expected Measurable Results
 
 35% - Leverage your technical expertise to constantly raise the bar and ensure the team delivers extraordinary results – focusing on creating value, continuous improvement, and collaboration. Strive to thoroughly understand customer, business and stakeholder needs, and provide effective data driven solutions to meet those needs. Develop, communicate, and maintain architectural, design, and lineage documentation.
 
 20% - Enhancing, upgrading and maintaining previously developed Data Science products
 
 15% - Brainstorming and developing new data driven solutions to evaluate, consult and optimize various business proposals
 
 15% - Participating in Retros, demos, planning, daily stand up
 
 15% - Learning and continuous improvement (keep up with state-of-the-art technology, conferences
 
 100%
 
 III. Minimum Qualifications and Job Requirements | All must be met to be considered.
 
 Education
 
 B.S. or Masters (Preferred) in Engineering, Computer Science, Statistics or Mathematics or other quantitative fields
 
 Experience
 
 2+ Years of Data Science experience and data scripting languages (e.g. Python, SQL, R etc.), understanding all practical details of the entire pipeline of Data Science: data query from data warehouse and datalakes, dataset creation, exploration of data, data cleansing, statistical analysis, feature engineering, model training and evaluation, model deployment and monitoring.
 
 Specific Knowledge, Skills And Abilities
 
 Solid understanding of popular machine learning algorithms including supervised, un-supervised, and semi-supervised ones. What is the difference between algorithms? What algorithm would you choose for a given problem and why? What are the pros and cons of these algorithms? What is cross-validation, hold-out sample, RMSE, overfitting, biasz/Proficient in one or more core data science programming languages (Python) and the ability to develop code in emergent languages and APIs as needed especially Java and ScalaPractical experience in building a full cycle machine learning engine from cleansing data to training and hyperparameter optimization to methods for evaluating the accuracy to identifying the ways to improve the accuracy of the model.Experience in data applications working with large-scale distributed systems (e.g. EMR, Spark, Hadoop)Exposed to and experienced with state-of-the-art machine learning toolkits such as Spark ML, TensorFlow, Scikit-learn, XGBoost, NLP … preferably in Big Data frameworks (e.g. Apache Spark).Familiarity with AWS ecosystem, Sagemaker, Athena, EMR, QuickSight, etcA self-learner with capability to switch from the independent contributor and leader of the project to a collaborative contributor on the team (and vice versa) depending on the demand of the project and the availability of the resources.Collaborate with stakeholders, partners, and clients to ensure that all parties are aligned and supportive of the project's priorities, requirements, timeline, and objectives.Familiarity with the MapReduce paradigm and Apache Spark project.Proficient with SQL as a means of gathering data from relational databases.Practiced data manipulation and mining of structured and unstructured data.Experience in visualizations for business stakeholders using a variety of visualization tools from libraries in Python and MS Excel, Familiarity with Data Engineering tools such as ETL, AWS Glue, Datalake, AirflowSuperior written and verbal communication with both technical and non-technical audiencesStrong analytical skills and a results-driven mindset
 
 % Travel Required (Approximate):
 
 It is the policy of Meredith Operations Corporation (""Dotdash Meredith"", ""the Company"") to provide equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, the Company will provide reasonable accommodations for qualified individuals with disabilities. Accommodation requests can be made by emailing ddm.hr@dotdashmdp.com.
 
 The Company participates in the federal E-Verify program to confirm the identity and employment authorization of all newly hired employees. For further information about the E-Verify program, please click here: https://www.e-verify.gov/employees
 
 Pay Range
 
 Salary: $98000 - $130000
 
 The pay range above represents the anticipated low and high end of the pay range for this position and may change in the future. Actual pay may vary and may be above or below the range based on various factors including but not limited to work location, experience, and performance. The range listed is just one component of Dotdash Meredith’s total compensation package for employees. Other compensation may include annual bonuses, and short- and long-term incentives. In addition, Dotdash Meredith provides to employees (and their eligible family members) a variety of benefits, including medical, dental, vision, prescription drug coverage, unlimited paid time off (PTO), adoption or surrogate assistance, donation matching, tuition reimbursement, basic life insurance, basic accidental death & dismemberment, supplemental life insurance, supplemental accident insurance, commuter benefits, short term and long term disability, health savings and flexible spending accounts, family care benefits, a generous 401K savings plan with a company match program, 10-12 paid holidays annually, and generous paid parental leave (birthing and non-birthing parents), all of which may vary depending on the specific nature of your employment with Dotdash Meredith and your work location. We also offer voluntary benefits such as pet insurance, accident, critical and hospital indemnity health insurance coverage, life and disability insurance.
 
 #CORP#",130000,,98000,YEARLY,Full-time,United States,177,1.70E+12,1,501,https://www.linkedin.com/jobs/view/3757490630/?trk=jobs_biz_prem_srch,https://meredith.wd5.myworkdayjobs.com/EXT/job/Remote-US/Data-Scientist_JR13168,OffsiteApply,1.70E+12,,Entry level,,1.70E+12,meredith.wd5.myworkdayjobs.com,0,FULL_TIME,USD,BASE_SALARY,1699090221
3757488347,30226705,Senior Data Scientist,"Role: Data ScientistLocation: Boston,MA (Onsite)
 
 
 Job Requirements:
 • Must have Skillsets – AWS data services, Python, AWS SageMaker, SAS.• Ability to build analytical models on Python using AWS data services and SageMaker.• 3-5 years of experience in building analytical models using Python.• Experience in converting analytical models in legacy systems (such as SAS) to modern cloud-based systems.• Experience in building data pipelines and data conversion activities.• Good understanding of semi structured data formats.• Experience in building and deploying analytical models on SageMaker.• Experience in using AWS data services such as S3, Glue and Athena.• Experience with any data ingestion or data integration tools (Informatica, DataStage, Matillion etc) would be desirable.",,,,,Contract,"Boston, MA",11,1.70E+12,,18,https://www.linkedin.com/jobs/view/3757488347/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1.70E+12,,,,1.70E+12,,0,CONTRACT,,,1699138477
3757470595,79383535,Python Developer/ Data Scientist -W2 only,"Akkodis is seekiing Python Developer/ Data Scientist (W2 only) as a fully remote.
 Python Developer/ Data Scientist (W2 Only)Location: Fully Remote Duration: 3 monthsMax pay rate :$69/hr on w2 Required Skills: Python developer / Data Scientist with 5+ years of experience.
  We urgently looking for 1 Technical Consultant, expert level, with the following skills: * Python, debugging, enterprise software features such as scaling, configurability, and performance optimizations. Responsibilities: * Enhance application code (Forecasting and Anomaly Detection) to handle exceptions and boundary conditions * Develop means to ease debugging and troubleshooting. * Follow industry best practices and coding standards. * Make deployment configurable for multiple environments. * Implement scalable controls. * Optimize performance to best practices. * Assist in load/stress testing and make applicable changes as required. * Assist in establishing the benchmarks for resource utilization and performance. * Assist in validating the accuracy and completeness of the solution at each stage of the process.
 
 For other opportunities available at Akkodis go to www.akkodis.comIf you have questions about the position, please contact Mohammed Irfan Murtuza at irfan.murtuza@akkodisgroup.com Equal Opportunity Employer/Veterans/Disabled Benefit offerings include medical, dental, vision, term life insurance, short-term disability insurance, additional voluntary benefits, commuter benefits, and a 401K plan. Our program provides employees the flexibility to choose the type of coverage that meets their individual needs. Available paid leave may include Paid Sick Leave, where required by law; any other paid leave required by Federal, State, or local law; and Holiday pays upon meeting eligibility criteria. To read our Candidate Privacy Information Statement, which explains how we will use your information, please visit https://www.modis.com/en-us/candidate-privacy/ The Company will consider qualified applicants with arrest and conviction records.",,69,,HOURLY,Contract,United States,83,1.70E+12,1,296,https://www.linkedin.com/jobs/view/3757470595/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1.70E+12,,Mid-Senior level,,1.70E+12,,0,CONTRACT,USD,BASE_SALARY,1699087314
