Day of Week,Date,Hours,Minutes,Tips
Sun,8/21/2022,10,10,$186.86
Mon,8/22/2022,0,0,$0.00
Tue,8/23/2022,0,0,$0.00
Wed,8/24/2022,5,0,$60.00
Thu,8/25/2022,8,12,$141.59
Fri,8/26/2022,6,15,$143.10
Sat,8/27/2022,6,31,$152.15
Sun,8/28/2022,10,15,$208.56
Mon,8/29/2022,0,0,$0.00
Tue,8/30/2022,0,0,$0.00
Wed,8/31/2022,5,44,$102.81
Thu,9/1/2022,5,17,$127.91
Fri,9/2/2022,5,55,$108.75
Sat,9/3/2022,6,36,$105.63
Sun,9/4/2022,10,16,$260.26
Mon,9/5/2022,5,8,$55.38
Tue,9/6/2022,0,0,$0.00
Wed,9/7/2022,4,43,$113.42
Thu,9/8/2022,0,0,$0.00
Fri,9/9/2022,5,38,$110.34
Sat,9/10/2022,5,59,$140.33
Sun,9/11/2022,8,42,$157.03
Mon,9/12/2022,4,17,$132.02
Tue,9/13/2022,0,0,$0.00
Wed,9/14/2022,4,56,$87.93
Thu,9/15/2022,0,0,$0.00
Fri,9/16/2022,0,0,$0.00
Sat,9/17/2022,5,59,$137.52
Sun,9/18/2022,8,15,$179.34
Mon,9/19/2022,5,4,$93.53
Tue,9/20/2022,0,0,$0.00
Wed,9/21/2022,5,33,$104.86
Thu,9/22/2022,0,0,$0.00
Fri,9/23/2022,5,10,$104.57
Sat,9/24/2022,6,42,$114.57
Sun,9/25/2022,9,4,$191.64
Mon,9/26/2022,3,32,$69.07
Tue,9/27/2022,0,0,$0.00
Wed,9/28/2022,5,4,$118.45
Thu,9/29/2022,0,0,$0.00
Fri,9/30/2022,5,56,$122.55
Sat,10/1/2022,6,14,$155.67
Sun,10/2/2022,8,8,$182.00
Mon,10/3/2022,5,47,$75.86
Tue,10/4/2022,0,0,$0.00
Wed,10/5/2022,4,34,$110.41
Thu,10/6/2022,0,0,$0.00
Fri,10/7/2022,5,2,$104.47
Sat,10/8/2022,6,54,$113.94
Sun,10/9/2022,5,29,$117.22
Mon,10/10/2022,4,48,$104.45
Tue,10/11/2022,0,0,$0.00
Wed,10/12/2022,4,54,$73.86
Thu,10/13/2022,0,0,$0.00
Fri,10/14/2022,6,0,$125.79
Sat,10/15/2022,6,16,$180.59
Sun,10/16/2022,6,13,$119.94
Mon,10/17/2022,4,27,$61.93
Tue,10/18/2022,0,0,$0.00
Wed,10/19/2022,4,39,$124.02
Thu,10/20/2022,0,0,$0.00
Fri,10/21/2022,6,7,$165.70
Sat,10/22/2022,7,3,$109.42
Sun,10/23/2022,5,7,$113.12
Mon,10/24/2022,5,50,$111.82
Tue,10/25/2022,0,0,$0.00
Wed,10/26/2022,5,17,$130.72
Thu,10/27/2022,0,0,$0.00
Fri,10/28/2022,5,20,$109.87
Sat,10/29/2022,6,54,$157.73
Sun,10/30/2022,4,51,$101.46
Mon,10/31/2022,5,50,$99.42
Tue,11/1/2022,0,0,$0.00
Wed,11/2/2022,4,41,$70.78
Thu,11/3/2022,0,0,$0.00
Fri,11/4/2022,5,51,$92.05
Sat,11/5/2022,6,15,$136.13
Sun,11/6/2022,6,44,$112.98
Mon,11/7/2022,6,8,$131.79
Tue,11/8/2022,0,0,$0.00
Wed,11/9/2022,5,13,$128.59
Thu,11/10/2022,0,0,$0.00
Fri,11/11/2022,6,4,$138.33
Sat,11/12/2022,6,40,$103.00
Sun,11/13/2022,6,31,$150.85
Mon,11/14/2022,5,10,$93.47
Tue,11/15/2022,0,0,$0.00
Wed,11/16/2022,5,25,$149.04
Thu,11/17/2022,0,0,$0.00
Fri,11/18/2022,5,41,$117.60
Sat,11/19/2022,5,58,$103.96
Sun,11/20/2022,5,13,$77.71
Mon,11/21/2022,5,2,$119.64
Tue,11/22/2022,0,0,$0.00
Wed,11/23/2022,0,0,$0.00
Thu,11/24/2022,0,0,$0.00
Fri,11/25/2022,0,0,$0.00
Sat,11/26/2022,5,57,$95.02
Sun,11/27/2022,5,9,$72.03
Mon,11/28/2022,4,55,$116.11
Tue,11/29/2022,0,0,$0.00
Wed,11/30/2022,5,25,$96.46
Thu,12/1/2022,0,0,$0.00
Fri,12/2/2022,5,30,$117.20
Sat,12/3/2022,6,23,$100.13
Sun,12/4/2022,4,57,$187.15
Mon,12/5/2022,0,0,$0.00
Tue,12/6/2022,0,0,$0.00
Wed,12/7/2022,6,3,$128.56
Thu,12/8/2022,5,11,$135.34
Fri,12/9/2022,5,3,$151.49
Sat,12/10/2022,6,44,$186.04
Sun,12/11/2022,5,33,$91.96
Mon,12/12/2022,0,0,$0.00
Tue,12/13/2022,0,0,$0.00
Wed,12/14/2022,5,8,$100.42
Thu,12/15/2022,0,0,$0.00
Fri,12/16/2022,5,50,$124.95
Sat,12/17/2022,6,24,$141.22
Sun,12/18/2022,4,54,$84.69
Mon,12/19/2022,3,16,$69.61
Tue,12/20/2022,8,28,$151.78
Wed,12/21/2022,0,0,$0.00
Thu,12/22/2022,0,0,$0.00
Fri,12/23/2022,0,0,$0.00
Sat,12/24/2022,0,0,$0.00
Sun,12/25/2022,0,0,$0.00
Mon,12/26/2022,0,0,$0.00
Tue,12/27/2022,0,0,$0.00
Wed,12/28/2022,0,0,$0.00
Thu,12/29/2022,5,46,$105.11
Fri,12/30/2022,7,2,$163.55
Sat,12/31/2022,6,25,$114.00
Sun,1/1/2023,7,31,$145.72
Mon,1/2/2023,5,33,$103.61
Tue,1/3/2023,9,6,$180.21
Wed,1/4/2023,0,0,$0.00
Thu,1/5/2023,0,0,$0.00
Fri,1/6/2023,9,36,$207.84
Sat,1/7/2023,7,11,$159.61
Sun,1/8/2023,8,32,$102.93
Mon,1/9/2023,4,58,$122.63
Tue,1/10/2023,0,0,$0.00
Wed,1/11/2023,0,0,$0.00
Thu,1/12/2023,9,12,$197.18
Fri,1/13/2023,10,4,$235.43
Sat,1/14/2023,7,21,$160.13
Sun,1/15/2023,8,23,$176.44
Mon,1/16/2023,3,46,$75.93
Tue,1/17/2023,0,0,$0.00
Wed,1/18/2023,0,0,$0.00
Thu,1/19/2023,8,0,$135.40
Fri,1/20/2023,10,10,$243.97
Sat,1/21/2023,6,12,$138.27
Sun,1/22/2023,7,31,$120.52
Mon,1/23/2023,0,0,$0.00
Tue,1/24/2023,4,55,$91.17
Wed,1/25/2023,0,0,$0.00
Thu,1/26/2023,5,25,$125.24
Fri,1/27/2023,6,12,$109.53
Sat,1/28/2023,6,16,$142.54
Sun,1/29/2023,7,10,$140.26
Mon,1/30/2023,0,0,$0.00
Tue,1/31/2023,5,24,$79.78
Wed,2/1/2023,0,0,$0.00
Thu,2/2/2023,4,24,$99.63
Fri,2/3/2023,4,30,$75.30
Sat,2/4/2023,5,52,$127.69
Sun,2/5/2023,9,21,$257.94
Mon,2/6/2023,0,0,$0.00
Tue,2/7/2023,5,0,$98.90
Wed,2/8/2023,0,0,$0.00
Thu,2/9/2023,4,29,$47.97
Fri,2/10/2023,5,36,$114.18
Sat,2/11/2023,6,35,$147.00
Sun,2/12/2023,7,44,$210.48
Mon,2/13/2023,0,0,$0.00
Tue,2/14/2023,6,21,$146.47
Wed,2/15/2023,0,0,$0.00
Thu,2/16/2023,4,50,$76.74
Fri,2/17/2023,5,37,$128.41
Sat,2/18/2023,6,29,$150.05
Sun,2/19/2023,9,51,$246.65
Mon,2/20/2023,0,0,$0.00
Tue,2/21/2023,5,30,$150.21
Wed,2/22/2023,0,0,$0.00
Thu,2/23/2023,5,30,$170.14
Fri,2/24/2023,5,46,$131.09
Sat,2/25/2023,7,16,$284.35
Sun,2/26/2023,9,19,$176.98
Mon,2/27/2023,0,0,$0.00
Tue,2/28/2023,3,57,$106.93
Wed,3/1/2023,0,0,$0.00
Thu,3/2/2023,5,38,$136.05
Fri,3/3/2023,5,42,$138.20
Sat,3/4/2023,5,57,$137.75
Sun,3/5/2023,9,35,$249.47
Mon,3/6/2023,0,0,$0.00
Tue,3/7/2023,5,17,$98.17
Wed,3/8/2023,0,0,$0.00
Thu,3/9/2023,5,7,$108.78
Fri,3/10/2023,5,44,$91.61
Sat,3/11/2023,6,54,$194.54
Sun,3/12/2023,9,33,$234.01
Mon,3/13/2023,0,0,$0.00
Tue,3/14/2023,5,37,$172.37
Wed,3/15/2023,0,0,$0.00
Thu,3/16/2023,5,24,$159.94
Fri,3/17/2023,6,28,$0.00
Sat,3/18/2023,7,10,$182.65
Sun,3/19/2023,9,2,$238.83
Mon,3/20/2023,0,0,$0.00
Tue,3/21/2023,5,36,$64.56
Wed,3/22/2023,0,0,$0.00
Thu,3/23/2023,4,3,$117.97
Fri,3/24/2023,6,22,$179.23
Sat,3/25/2023,0,0,$0.00
Sun,3/26/2023,0,0,$0.00
Mon,3/27/2023,0,0,$0.00
Tue,3/28/2023,5,37,$123.96
Wed,3/29/2023,0,0,$0.00
Thu,3/30/2023,5,8,$120.49
Fri,3/31/2023,5,49,$128.48
Sat,4/1/2023,5,54,$187.02
Sun,4/2/2023,5,43,$44.83
Mon,4/3/2023,0,0,$0.00
Tue,4/4/2023,5,37,$123.96
Wed,4/5/2023,0,0,$0.00
Thu,4/6/2023,5,9,$110.62
Fri,4/7/2023,6,32,$155.02
Sat,4/8/2023,6,27,$198.49
Sun,4/9/2023,0,0,$0.00
Mon,4/10/2023,4,36,$100.26
Tue,4/11/2023,5,0,$117.87
Wed,4/12/2023,0,0,$0.00
Thu,4/13/2023,0,0,$0.00
Fri,4/14/2023,0,0,$0.00
Sat,4/15/2023,0,0,$0.00
Sun,4/16/2023,0,0,$0.00
Mon,4/17/2023,0,0,$0.00
Tue,4/18/2023,4,57,$104.54
Wed,4/19/2023,0,0,$0.00
Thu,4/20/2023,,,
Fri,4/21/2023,6,16,$137.71
Sat,4/22/2023,8,43,$115.76
Sun,4/23/2023,,,
Mon,4/24/2023,0,0,$0.00
Tue,4/25/2023,4,39,$109.61
Wed,4/26/2023,0,0,$0.00
Thu,4/27/2023,5,13,$124.24
Fri,4/28/2023,6,39,$180.20
Sat,4/29/2023,5,45,$133.42
Sun,4/30/2023,9,57,$262.10
Mon,5/1/2023,6,59,$110.32
Tue,5/2/2023,4,56,$119.35
Wed,5/3/2023,0,0,$0.00
Thu,5/4/2023,4,49,$106.33
Fri,5/5/2023,5,36,$132.14
Sat,5/6/2023,6,2,$112.82
Sun,5/7/2023,8,14,$142.53
Mon,5/8/2023,6,54,$72.13
Tue,5/9/2023,0,0,$0.00
Wed,5/10/2023,0,0,$0.00
Thu,5/11/2023,0,0,$0.00
Fri,5/12/2023,5,4,$113.16
Sat,5/13/2023,6,0,$122.75
Sun,5/14/2023,6,1,$189.68
Mon,5/15/2023,0,0,$0.00
Tue,5/16/2023,4,55,$99.81
Wed,5/17/2023,0,0,$0.00
Thu,5/18/2023,5,2,$138.07
Fri,5/19/2023,5,32,$114.32
Sat,5/20/2023,6,1,$150.03
Sun,5/21/2023,8,54,$153.86
Mon,5/22/2023,0,0,$0.00
Tue,5/23/2023,5,6,$127.22
Wed,5/24/2023,0,0,$0.00
Thu,5/25/2023,6,58,$120.71
Fri,5/26/2023,5,47,$155.63
Sat,5/27/2023,5,25,$86.00
Sun,5/28/2023,7,41,$102.74
Mon,5/29/2023,0,0,$0.00
Tue,5/30/2023,5,8,$95.55
Wed,5/31/2023,0,0,$0.00
Thu,6/1/2023,4,51,$77.08
Fri,6/2/2023,5,40,$121.64
Sat,6/3/2023,5,55,$105.14
Sun,6/4/2023,9,30,$110.59
Mon,6/5/2023,0,0,$0.00
Tue,6/6/2023,4,5,$87.63
Wed,6/7/2023,0,0,$0.00
Thu,6/8/2023,4,29,$104.56
Fri,6/9/2023,6,3,$207.71
Sat,6/10/2023,5,46,$146.20
Sun,6/11/2023,9,35,$175.37
Mon,6/12/2023,0,0,$0.00
Tue,6/13/2023,4,51,$120.08
Wed,6/14/2023,7,9,$155.66
Thu,6/15/2023,0,0,$0.00
Fri,6/16/2023,5,36,$124.14
Sat,6/17/2023,4,50,$82.74
Sun,6/18/2023,9,22,$177.34
Mon,6/19/2023,0,0,$0.00
Tue,6/20/2023,4,2,$80.17
Wed,6/21/2023,0,0,$0.00
Thu,6/22/2023,5,12,$109.46
Fri,6/23/2023,5,44,$79.84
Sat,6/24/2023,7,40,$119.55
Sun,6/25/2023,10,12,$180.88
Mon,6/26/2023,0,0,$0.00
Tue,6/27/2023,4,20,$92.36
Wed,6/28/2023,0,0,$0.00
